Area_name,STCOU,PST025182F,PST025182D,PST025182N1,PST025182N2,PST025183F,PST025183D,PST025183N1,PST025183N2,PST025184F,PST025184D,PST025184N1,PST025184N2,PST025185F,PST025185D,PST025185N1,PST025185N2,PST025186F,PST025186D,PST025186N1,PST025186N2,PST025187F,PST025187D,PST025187N1,PST025187N2,PST025188F,PST025188D,PST025188N1,PST025188N2,PST025189F,PST025189D,PST025189N1,PST025189N2,PST030190F,PST030190D,PST030190N1,PST030190N2,PST035190F,PST035190D,PST035190N1,PST035190N2
"Stanton, KS",20187,0,2335,0000,0000,0,2440,0000,0000,0,2390,0000,0000,0,2381,0000,0000,0,2424,0000,0000,0,2442,0000,0000,0,2416,0000,0000,0,2343,0000,0000,0,2333,0000,0000,0,2334,0000,0000
"Stevens, KS",20189,0,4671,0000,0000,0,4813,0000,0000,0,4846,0000,0000,0,4828,0000,0000,0,4880,0000,0000,0,4945,0000,0000,0,5011,0000,0000,0,5024,0000,0000,0,5048,0000,0000,0,5060,0000,0000
"Sumner, KS",20191,0,25461,0000,0000,0,25377,0000,0000,0,25235,0000,0000,0,25218,0000,0000,0,25326,0000,0000,0,25463,0000,0000,0,25637,0000,0000,0,25792,0000,0000,0,25841,0000,0000,0,25845,0000,0000
"Thomas, KS",20193,0,8585,0000,0000,0,8828,0000,0000,0,8742,0000,0000,0,8673,0000,0000,0,8589,0000,0000,0,8400,0000,0000,0,8395,0000,0000,0,8226,0000,0000,0,8258,0000,0000,0,8283,0000,0000
"Trego, KS",20195,0,4217,0000,0000,0,4274,0000,0000,0,4306,0000,0000,0,4169,0000,0000,0,4011,0000,0000,0,3913,0000,0000,0,3846,0000,0000,0,3740,0000,0000,0,3694,0000,0000,0,3683,0000,0000
"Wabaunsee, KS",20197,0,6651,0000,0000,0,6764,0000,0000,0,6774,0000,0000,0,6771,0000,0000,0,6752,0000,0000,0,6741,0000,0000,0,6812,0000,0000,0,6693,0000,0000,0,6603,0000,0000,0,6581,0000,0000
"Wallace, KS",20199,0,1980,0000,0000,0,2034,0000,0000,0,2017,0000,0000,0,1967,0000,0000,0,1937,0000,0000,0,1941,0000,0000,0,1958,0000,0000,0,1842,0000,0000,0,1821,0000,0000,0,1813,0000,0000
"Washington, KS",20201,0,8153,0000,0000,0,8078,0000,0000,0,7875,0000,0000,0,7743,0000,0000,0,7551,0000,0000,0,7529,0000,0000,0,7492,0000,0000,0,7206,0000,0000,0,7073,0000,0000,0,7042,0000,0000
"Wichita, KS",20203,0,2958,0000,0000,0,3016,0000,0000,0,2908,0000,0000,0,2882,0000,0000,0,2845,0000,0000,0,2821,0000,0000,0,2863,0000,0000,0,2797,0000,0000,0,2758,0000,0000,0,2739,0000,0000
"Wilson, KS",20205,0,11720,0000,0000,0,11552,0000,0000,0,11381,0000,0000,0,11207,0000,0000,0,11090,0000,0000,0,10849,0000,0000,0,10550,0000,0000,0,10494,0000,0000,0,10289,0000,0000,0,10247,0000,0000
"Woodson, KS",20207,0,4592,0000,0000,0,4691,0000,0000,0,4713,0000,0000,0,4539,0000,0000,0,4342,0000,0000,0,4288,0000,0000,0,4168,0000,0000,0,4098,0000,0000,0,4116,0000,0000,0,4122,0000,0000
"Wyandotte, KS",20209,0,170995,0000,0000,0,170246,0000,0000,0,169423,0000,0000,0,169896,0000,0000,0,169587,0000,0000,0,168252,0000,0000,0,166582,0000,0000,0,163637,0000,0000,0,162026,0000,0000,0,161973,0000,0000
KENTUCKY,21000,0,3683427,0000,0000,0,3694465,0000,0000,0,3695426,0000,0000,0,3694833,0000,0000,0,3687821,0000,0000,0,3683341,0000,0000,0,3679990,0000,0000,0,3677287,0000,0000,0,3686892,0000,0000,0,3694048,0000,0000
"Adair, KY",21001,0,15439,0000,0000,0,15293,0000,0000,0,15760,0000,0000,0,15610,0000,0000,0,15560,0000,0000,0,15222,0000,0000,0,15412,0000,0000,0,15319,0000,0000,0,15360,0000,0000,0,15387,0000,0000
"Allen, KY",21003,0,13917,0000,0000,0,14028,0000,0000,0,14320,0000,0000,0,14334,0000,0000,0,14266,0000,0000,0,14234,0000,0000,0,14198,0000,0000,0,14375,0000,0000,0,14628,0000,0000,0,14723,0000,0000
"Anderson, KY",21005,0,12852,0000,0000,0,12896,0000,0000,0,13181,0000,0000,0,13433,0000,0000,0,13560,0000,0000,0,13735,0000,0000,0,13971,0000,0000,0,14221,0000,0000,0,14571,0000,0000,0,14672,0000,0000
"Ballard, KY",21007,0,8488,0000,0000,0,8455,0000,0000,0,8375,0000,0000,0,8445,0000,0000,0,8279,0000,0000,0,8228,0000,0000,0,8041,0000,0000,0,7964,0000,0000,0,7902,0000,0000,0,7883,0000,0000
"Barren, KY",21009,0,34630,0000,0000,0,34682,0000,0000,0,34602,0000,0000,0,34207,0000,0000,0,34281,0000,0000,0,34181,0000,0000,0,33993,0000,0000,0,33822,0000,0000,0,34001,0000,0000,0,34094,0000,0000
"Bath, KY",21011,0,10089,0000,0000,0,10198,0000,0000,0,9971,0000,0000,0,9918,0000,0000,0,9941,0000,0000,0,9810,0000,0000,0,9693,0000,0000,0,9656,0000,0000,0,9692,0000,0000,0,9718,0000,0000
"Bell, KY",21013,0,34073,0000,0000,0,34262,0000,0000,0,33914,0000,0000,0,33515,0000,0000,0,33322,0000,0000,0,32731,0000,0000,0,31952,0000,0000,0,31932,0000,0000,0,31506,0000,0000,0,31496,0000,0000
"Boone, KY",21015,0,47767,0000,0000,0,48632,0000,0000,0,49322,0000,0000,0,50351,0000,0000,0,51080,0000,0000,0,52857,0000,0000,0,54196,0000,0000,0,55895,0000,0000,0,57589,0000,0000,0,58123,0000,0000
"Bourbon, KY",21017,0,19027,0000,0000,0,19055,0000,0000,0,19057,0000,0000,0,18967,0000,0000,0,19187,0000,0000,0,19087,0000,0000,0,18980,0000,0000,0,19277,0000,0000,0,19236,0000,0000,0,19247,0000,0000
"Boyd, KY",21019,0,54539,0000,0000,0,54519,0000,0000,0,53762,0000,0000,0,53339,0000,0000,0,52642,0000,0000,0,51950,0000,0000,0,51296,0000,0000,0,51486,0000,0000,0,51096,0000,0000,0,51072,0000,0000
"Boyle, KY",21021,0,24589,0000,0000,0,24558,0000,0000,0,25042,0000,0000,0,25211,0000,0000,0,25478,0000,0000,0,25579,0000,0000,0,25802,0000,0000,0,25759,0000,0000,0,25590,0000,0000,0,25605,0000,0000
"Bracken, KY",21023,0,7603,0000,0000,0,7561,0000,0000,0,7493,0000,0000,0,7501,0000,0000,0,7585,0000,0000,0,7573,0000,0000,0,7618,0000,0000,0,7597,0000,0000,0,7766,0000,0000,0,7801,0000,0000
"Breathitt, KY",21025,0,16770,0000,0000,0,16683,0000,0000,0,16466,0000,0000,0,16290,0000,0000,0,16236,0000,0000,0,16062,0000,0000,0,15819,0000,0000,0,15827,0000,0000,0,15703,0000,0000,0,15675,0000,0000
