Area_name,STCOU,EDU010187F,EDU010187D,EDU010187N1,EDU010187N2,EDU010188F,EDU010188D,EDU010188N1,EDU010188N2,EDU010189F,EDU010189D,EDU010189N1,EDU010189N2,EDU010190F,EDU010190D,EDU010190N1,EDU010190N2,EDU010191F,EDU010191D,EDU010191N1,EDU010191N2,EDU010192F,EDU010192D,EDU010192N1,EDU010192N2,EDU010193F,EDU010193D,EDU010193N1,EDU010193N2,EDU010194F,EDU010194D,EDU010194N1,EDU010194N2,EDU010195F,EDU010195D,EDU010195N1,EDU010195N2,EDU010196F,EDU010196D,EDU010196N1,EDU010196N2
"Hardin, TX",48199,0,10184,0000,0000,0,10061,0000,0000,0,9978,0000,0000,0,9901,0000,0000,0,10091,0000,0000,0,10488,0000,0000,0,10646,0000,0000,0,10722,0000,0000,0,10997,0000,0000,0,11147,0000,0000
"Harris, TX",48201,0,502724,0000,0000,0,501604,0000,0000,0,509072,0000,0000,0,508734,0000,0000,0,536754,0000,0000,0,550960,0000,0000,0,561731,0000,0000,0,570602,0000,0000,0,579064,0000,0000,0,594862,0000,0000
"Harrison, TX",48203,0,12494,0000,0000,0,12422,0000,0000,0,12486,0000,0000,0,12366,0000,0000,0,12481,0000,0000,0,12597,0000,0000,0,12727,0000,0000,0,12684,0000,0000,0,12639,0000,0000,0,12652,0000,0000
"Hartley, TX",48205,0,289,0000,0000,0,285,0000,0000,0,275,0000,0000,0,272,0000,0000,0,251,0000,0000,0,250,0000,0000,0,254,0000,0000,0,264,0000,0000,0,271,0000,0000,0,296,0000,0000
"Haskell, TX",48207,0,1248,0000,0000,0,1236,0000,0000,0,1217,0000,0000,0,1267,0000,0000,0,1257,0000,0000,0,1251,0000,0000,0,1254,0000,0000,0,1293,0000,0000,0,1284,0000,0000,0,1235,0000,0000
"Hays, TX",48209,0,11803,0000,0000,0,12314,0000,0000,0,12404,0000,0000,0,12345,0000,0000,0,12832,0000,0000,0,13279,0000,0000,0,13943,0000,0000,0,14604,0000,0000,0,15265,0000,0000,0,15926,0000,0000
"Hemphill, TX",48211,0,853,0000,0000,0,843,0000,0000,0,823,0000,0000,0,814,0000,0000,0,807,0000,0000,0,801,0000,0000,0,804,0000,0000,0,809,0000,0000,0,820,0000,0000,0,878,0000,0000
"Henderson, TX",48213,0,8489,0000,0000,0,8592,0000,0000,0,8642,0000,0000,0,8736,0000,0000,0,8432,0000,0000,0,8827,0000,0000,0,9023,0000,0000,0,9251,0000,0000,0,9470,0000,0000,0,9691,0000,0000
"Hidalgo, TX",48215,0,99012,0000,0000,0,101460,0000,0000,0,105570,0000,0000,0,101189,0000,0000,0,114643,0000,0000,0,118719,0000,0000,0,122555,0000,0000,0,124307,0000,0000,0,127406,0000,0000,0,129484,0000,0000
"Hill, TX",48217,0,4964,0000,0000,0,4949,0000,0000,0,5022,0000,0000,0,5040,0000,0000,0,5047,0000,0000,0,5126,0000,0000,0,5374,0000,0000,0,5469,0000,0000,0,5597,0000,0000,0,5505,0000,0000
"Hockley, TX",48219,0,5648,0000,0000,0,5770,0000,0000,0,5847,0000,0000,0,5683,0000,0000,0,5832,0000,0000,0,5895,0000,0000,0,5836,0000,0000,0,5816,0000,0000,0,5652,0000,0000,0,5507,0000,0000
"Hood, TX",48221,0,4699,0000,0000,0,5139,0000,0000,0,5335,0000,0000,0,5557,0000,0000,0,5574,0000,0000,0,5949,0000,0000,0,5912,0000,0000,0,6000,0000,0000,0,6333,0000,0000,0,6550,0000,0000
"Hopkins, TX",48223,0,5650,0000,0000,0,5651,0000,0000,0,5639,0000,0000,0,5625,0000,0000,0,5627,0000,0000,0,5746,0000,0000,0,5818,0000,0000,0,5952,0000,0000,0,5936,0000,0000,0,5908,0000,0000
"Houston, TX",48225,0,4084,0000,0000,0,4157,0000,0000,0,4065,0000,0000,0,3881,0000,0000,0,3923,0000,0000,0,4027,0000,0000,0,4036,0000,0000,0,4068,0000,0000,0,4134,0000,0000,0,4093,0000,0000
"Howard, TX",48227,0,5997,0000,0000,0,6028,0000,0000,0,6198,0000,0000,0,5991,0000,0000,0,6004,0000,0000,0,6158,0000,0000,0,6123,0000,0000,0,6243,0000,0000,0,6217,0000,0000,0,6140,0000,0000
"Hudspeth, TX",48229,0,680,0000,0000,0,696,0000,0000,0,741,0000,0000,0,728,0000,0000,0,718,0000,0000,0,756,0000,0000,0,810,0000,0000,0,797,0000,0000,0,821,0000,0000,0,825,0000,0000
"Hunt, TX",48231,0,12004,0000,0000,0,12140,0000,0000,0,12033,0000,0000,0,12291,0000,0000,0,12177,0000,0000,0,12307,0000,0000,0,12575,0000,0000,0,12834,0000,0000,0,13128,0000,0000,0,13329,0000,0000
"Hutchinson, TX",48233,0,5550,0000,0000,0,5596,0000,0000,0,5719,0000,0000,0,5500,0000,0000,0,5611,0000,0000,0,5619,0000,0000,0,5695,0000,0000,0,5533,0000,0000,0,5592,0000,0000,0,5498,0000,0000
"Irion, TX",48235,0,350,0000,0000,0,340,0000,0000,0,360,0000,0000,0,359,0000,0000,0,335,0000,0000,0,326,0000,0000,0,324,0000,0000,0,330,0000,0000,0,340,0000,0000,0,390,0000,0000
"Jack, TX",48237,0,1676,0000,0000,0,1621,0000,0000,0,1515,0000,0000,0,1543,0000,0000,0,1547,0000,0000,0,1551,0000,0000,0,1607,0000,0000,0,1668,0000,0000,0,1708,0000,0000,0,1798,0000,0000
"Jackson, TX",48239,0,3202,0000,0000,0,3201,0000,0000,0,3149,0000,0000,0,3070,0000,0000,0,3068,0000,0000,0,3104,0000,0000,0,3187,0000,0000,0,3299,0000,0000,0,3349,0000,0000,0,3354,0000,0000
"Jasper, TX",48241,0,7251,0000,0000,0,7351,0000,0000,0,7419,0000,0000,0,7251,0000,0000,0,7265,0000,0000,0,7248,0000,0000,0,7271,0000,0000,0,7397,0000,0000,0,7526,0000,0000,0,7553,0000,0000
"Jeff Davis, TX",48243,0,403,0000,0000,0,374,0000,0000,0,382,0000,0000,0,432,0000,0000,0,372,0000,0000,0,383,0000,0000,0,400,0000,0000,0,421,0000,0000,0,436,0000,0000,0,408,0000,0000
"Jefferson, TX",48245,0,44454,0000,0000,0,44619,0000,0000,0,44470,0000,0000,0,43314,0000,0000,0,44529,0000,0000,0,45039,0000,0000,0,45331,0000,0000,0,45041,0000,0000,0,45321,0000,0000,0,44706,0000,0000
"Jim Hogg, TX",48247,0,1269,0000,0000,0,1286,0000,0000,0,1298,0000,0000,0,1185,0000,0000,0,1249,0000,0000,0,1259,0000,0000,0,1302,0000,0000,0,1307,0000,0000,0,1346,0000,0000,0,1300,0000,0000
"Jim Wells, TX",48249,0,9101,0000,0000,0,8979,0000,0000,0,8807,0000,0000,0,8563,0000,0000,0,8634,0000,0000,0,8701,0000,0000,0,8754,0000,0000,0,8748,0000,0000,0,8837,0000,0000,0,8925,0000,0000
"Johnson, TX",48251,0,19252,0000,0000,0,19367,0000,0000,0,19715,0000,0000,0,20061,0000,0000,0,19971,0000,0000,0,20625,0000,0000,0,20878,0000,0000,0,21182,0000,0000,0,21711,0000,0000,0,22162,0000,0000
"Jones, TX",48253,0,3388,0000,0000,0,3341,0000,0000,0,3273,0000,0000,0,3203,0000,0000,0,3285,0000,0000,0,3229,0000,0000,0,3160,0000,0000,0,3179,0000,0000,0,3293,0000,0000,0,3278,0000,0000
"Karnes, TX",48255,0,2827,0000,0000,0,2772,0000,0000,0,2806,0000,0000,0,2769,0000,0000,0,2793,0000,0000,0,2758,0000,0000,0,2804,0000,0000,0,2832,0000,0000,0,2854,0000,0000,0,2927,0000,0000
"Kaufman, TX",48257,0,12550,0000,0000,0,12884,0000,0000,0,13083,0000,0000,0,13191,0000,0000,0,13482,0000,0000,0,13926,0000,0000,0,14239,0000,0000,0,14535,0000,0000,0,14955,0000,0000,0,15302,0000,0000
"Kendall, TX",48259,0,3211,0000,0000,0,3372,0000,0000,0,3442,0000,0000,0,3446,0000,0000,0,3565,0000,0000,0,3748,0000,0000,0,3926,0000,0000,0,4256,0000,0000,0,4560,0000,0000,0,4863,0000,0000
