Area_name,STCOU,EDU010187F,EDU010187D,EDU010187N1,EDU010187N2,EDU010188F,EDU010188D,EDU010188N1,EDU010188N2,EDU010189F,EDU010189D,EDU010189N1,EDU010189N2,EDU010190F,EDU010190D,EDU010190N1,EDU010190N2,EDU010191F,EDU010191D,EDU010191N1,EDU010191N2,EDU010192F,EDU010192D,EDU010192N1,EDU010192N2,EDU010193F,EDU010193D,EDU010193N1,EDU010193N2,EDU010194F,EDU010194D,EDU010194N1,EDU010194N2,EDU010195F,EDU010195D,EDU010195N1,EDU010195N2,EDU010196F,EDU010196D,EDU010196N1,EDU010196N2
UNITED STATES,00000,0,40024299,0000,0000,0,39967624,0000,0000,0,40317775,0000,0000,0,40737600,0000,0000,0,41385442,0000,0000,0,42088151,0000,0000,0,42724710,0000,0000,0,43369917,0000,0000,0,43993459,0000,0000,0,44715737,0000,0000
ALABAMA,01000,0,733735,0000,0000,0,728234,0000,0000,0,730048,0000,0000,0,728252,0000,0000,0,725541,0000,0000,0,726150,0000,0000,0,728014,0000,0000,0,730509,0000,0000,0,727989,0000,0000,0,736825,0000,0000
"Autauga, AL",01001,0,6829,0000,0000,0,6900,0000,0000,0,6920,0000,0000,0,6847,0000,0000,0,7008,0000,0000,0,7137,0000,0000,0,7152,0000,0000,0,7381,0000,0000,0,7568,0000,0000,0,7834,0000,0000
"Baldwin, AL",01003,0,16417,0000,0000,0,16465,0000,0000,0,16799,0000,0000,0,17054,0000,0000,0,17479,0000,0000,0,17983,0000,0000,0,18735,0000,0000,0,19384,0000,0000,0,19961,0000,0000,0,20699,0000,0000
"Barbour, AL",01005,0,5071,0000,0000,0,5098,0000,0000,0,5068,0000,0000,0,5156,0000,0000,0,5173,0000,0000,0,5252,0000,0000,0,5135,0000,0000,0,5111,0000,0000,0,5017,0000,0000,0,5053,0000,0000
"Bibb, AL",01007,0,3557,0000,0000,0,3508,0000,0000,0,3571,0000,0000,0,3621,0000,0000,0,3652,0000,0000,0,3564,0000,0000,0,3565,0000,0000,0,3552,0000,0000,0,3539,0000,0000,0,3656,0000,0000
"Blount, AL",01009,0,7319,0000,0000,0,7223,0000,0000,0,7205,0000,0000,0,7209,0000,0000,0,7155,0000,0000,0,7150,0000,0000,0,7210,0000,0000,0,7300,0000,0000,0,7421,0000,0000,0,7622,0000,0000
"Bullock, AL",01011,0,2014,0000,0000,0,1980,0000,0000,0,1985,0000,0000,0,1983,0000,0000,0,1985,0000,0000,0,2023,0000,0000,0,2010,0000,0000,0,2011,0000,0000,0,1972,0000,0000,0,1989,0000,0000
"Butler, AL",01013,0,4640,0000,0000,0,4582,0000,0000,0,4610,0000,0000,0,4591,0000,0000,0,4544,0000,0000,0,4476,0000,0000,0,4444,0000,0000,0,4348,0000,0000,0,4300,0000,0000,0,4173,0000,0000
"Calhoun, AL",01015,0,20939,0000,0000,0,20923,0000,0000,0,20907,0000,0000,0,20849,0000,0000,0,20768,0000,0000,0,20485,0000,0000,0,20510,0000,0000,0,20110,0000,0000,0,19619,0000,0000,0,19665,0000,0000
"Chambers, AL",01017,0,7109,0000,0000,0,6962,0000,0000,0,6962,0000,0000,0,6853,0000,0000,0,6551,0000,0000,0,6200,0000,0000,0,5984,0000,0000,0,5874,0000,0000,0,5750,0000,0000,0,5732,0000,0000
"Cherokee, AL",01019,0,3789,0000,0000,0,3796,0000,0000,0,3849,0000,0000,0,3793,0000,0000,0,3697,0000,0000,0,3695,0000,0000,0,3659,0000,0000,0,3681,0000,0000,0,3714,0000,0000,0,3794,0000,0000
"Chilton, AL",01021,0,6151,0000,0000,0,6117,0000,0000,0,6139,0000,0000,0,6131,0000,0000,0,6228,0000,0000,0,6309,0000,0000,0,6245,0000,0000,0,6297,0000,0000,0,6228,0000,0000,0,6257,0000,0000
"Choctaw, AL",01023,0,3418,0000,0000,0,3365,0000,0000,0,3324,0000,0000,0,3213,0000,0000,0,3121,0000,0000,0,3095,0000,0000,0,3032,0000,0000,0,2919,0000,0000,0,2929,0000,0000,0,2719,0000,0000
"Clarke, AL",01025,0,5976,0000,0000,0,6095,0000,0000,0,6124,0000,0000,0,6122,0000,0000,0,6104,0000,0000,0,6119,0000,0000,0,5940,0000,0000,0,5847,0000,0000,0,5677,0000,0000,0,5603,0000,0000
"Clay, AL",01027,0,2906,0000,0000,0,2857,0000,0000,0,2810,0000,0000,0,2692,0000,0000,0,2664,0000,0000,0,2682,0000,0000,0,2631,0000,0000,0,2570,0000,0000,0,2616,0000,0000,0,2635,0000,0000
"Cleburne, AL",01029,0,2419,0000,0000,0,2380,0000,0000,0,2432,0000,0000,0,2401,0000,0000,0,2403,0000,0000,0,2384,0000,0000,0,2409,0000,0000,0,2393,0000,0000,0,2446,0000,0000,0,2488,0000,0000
"Coffee, AL",01031,0,8470,0000,0000,0,8570,0000,0000,0,8514,0000,0000,0,8496,0000,0000,0,8277,0000,0000,0,8317,0000,0000,0,8371,0000,0000,0,8434,0000,0000,0,8424,0000,0000,0,8477,0000,0000
"Colbert, AL",01033,0,9065,0000,0000,0,8855,0000,0000,0,8667,0000,0000,0,8582,0000,0000,0,8508,0000,0000,0,8625,0000,0000,0,8606,0000,0000,0,8637,0000,0000,0,8646,0000,0000,0,8761,0000,0000
"Conecuh, AL",01035,0,2817,0000,0000,0,2814,0000,0000,0,2658,0000,0000,0,2653,0000,0000,0,2582,0000,0000,0,2556,0000,0000,0,2508,0000,0000,0,2461,0000,0000,0,2382,0000,0000,0,2386,0000,0000
"Coosa, AL",01037,0,2098,0000,0000,0,2007,0000,0000,0,2003,0000,0000,0,1982,0000,0000,0,1925,0000,0000,0,1858,0000,0000,0,1870,0000,0000,0,1866,0000,0000,0,1855,0000,0000,0,1851,0000,0000
"Covington, AL",01039,0,7141,0000,0000,0,7094,0000,0000,0,7069,0000,0000,0,7036,0000,0000,0,6922,0000,0000,0,6917,0000,0000,0,6869,0000,0000,0,6849,0000,0000,0,6904,0000,0000,0,6950,0000,0000
"Crenshaw, AL",01041,0,2839,0000,0000,0,2775,0000,0000,0,2778,0000,0000,0,2715,0000,0000,0,2619,0000,0000,0,2477,0000,0000,0,2448,0000,0000,0,2386,0000,0000,0,2382,0000,0000,0,2415,0000,0000
"Cullman, AL",01043,0,11294,0000,0000,0,11372,0000,0000,0,11372,0000,0000,0,11580,0000,0000,0,11639,0000,0000,0,11792,0000,0000,0,11906,0000,0000,0,11950,0000,0000,0,11927,0000,0000,0,12060,0000,0000
"Dale, AL",01045,0,7959,0000,0000,0,8013,0000,0000,0,7890,0000,0000,0,7769,0000,0000,0,7608,0000,0000,0,7770,0000,0000,0,7683,0000,0000,0,7808,0000,0000,0,7899,0000,0000,0,7856,0000,0000
"Dallas, AL",01047,0,11188,0000,0000,0,11159,0000,0000,0,11131,0000,0000,0,11026,0000,0000,0,10348,0000,0000,0,10364,0000,0000,0,10337,0000,0000,0,10235,0000,0000,0,10151,0000,0000,0,9888,0000,0000
"DeKalb, AL",01049,0,10516,0000,0000,0,10341,0000,0000,0,10264,0000,0000,0,10142,0000,0000,0,10053,0000,0000,0,9911,0000,0000,0,9808,0000,0000,0,9878,0000,0000,0,9889,0000,0000,0,9883,0000,0000
"Elmore, AL",01051,0,9222,0000,0000,0,9377,0000,0000,0,9566,0000,0000,0,9597,0000,0000,0,9507,0000,0000,0,9692,0000,0000,0,9823,0000,0000,0,10076,0000,0000,0,10352,0000,0000,0,10753,0000,0000
"Escambia, AL",01053,0,7366,0000,0000,0,7215,0000,0000,0,7086,0000,0000,0,6979,0000,0000,0,6815,0000,0000,0,6658,0000,0000,0,6475,0000,0000,0,6507,0000,0000,0,6443,0000,0000,0,6443,0000,0000
"Etowah, AL",01055,0,18288,0000,0000,0,18091,0000,0000,0,18142,0000,0000,0,17743,0000,0000,0,17382,0000,0000,0,17122,0000,0000,0,16871,0000,0000,0,16590,0000,0000,0,16548,0000,0000,0,16572,0000,0000
"Fayette, AL",01057,0,3246,0000,0000,0,3195,0000,0000,0,3134,0000,0000,0,3077,0000,0000,0,3003,0000,0000,0,2963,0000,0000,0,2946,0000,0000,0,2928,0000,0000,0,2879,0000,0000,0,2936,0000,0000
"Franklin, AL",01059,0,5439,0000,0000,0,5356,0000,0000,0,5380,0000,0000,0,5326,0000,0000,0,5295,0000,0000,0,5284,0000,0000,0,5371,0000,0000,0,5421,0000,0000,0,5552,0000,0000,0,5624,0000,0000
"Geneva, AL",01061,0,4599,0000,0000,0,4496,0000,0000,0,4384,0000,0000,0,4359,0000,0000,0,4355,0000,0000,0,4277,0000,0000,0,4277,0000,0000,0,4260,0000,0000,0,4322,0000,0000,0,4330,0000,0000
"Greene, AL",01063,0,2367,0000,0000,0,2404,0000,0000,0,2391,0000,0000,0,2414,0000,0000,0,2421,0000,0000,0,2373,0000,0000,0,2325,0000,0000,0,2305,0000,0000,0,2244,0000,0000,0,2182,0000,0000
"Hale, AL",01065,0,3475,0000,0000,0,3547,0000,0000,0,3508,0000,0000,0,3556,0000,0000,0,3644,0000,0000,0,3670,0000,0000,0,3564,0000,0000,0,3574,0000,0000,0,3511,0000,0000,0,3470,0000,0000
"Henry, AL",01067,0,3139,0000,0000,0,3105,0000,0000,0,3087,0000,0000,0,3060,0000,0000,0,3019,0000,0000,0,2872,0000,0000,0,2893,0000,0000,0,2874,0000,0000,0,2823,0000,0000,0,2842,0000,0000
"Houston, AL",01069,0,15362,0000,0000,0,15360,0000,0000,0,15369,0000,0000,0,15530,0000,0000,0,15636,0000,0000,0,15616,0000,0000,0,15608,0000,0000,0,15665,0000,0000,0,15395,0000,0000,0,15521,0000,0000
"Jackson, AL",01071,0,10039,0000,0000,0,8870,0000,0000,0,9884,0000,0000,0,9794,0000,0000,0,9559,0000,0000,0,9508,0000,0000,0,9526,0000,0000,0,9363,0000,0000,0,9204,0000,0000,0,9336,0000,0000
"Jefferson, AL",01073,0,110697,0000,0000,0,109775,0000,0000,0,110193,0000,0000,0,110103,0000,0000,0,109874,0000,0000,0,110760,0000,0000,0,111247,0000,0000,0,112224,0000,0000,0,111362,0000,0000,0,112641,0000,0000
"Lamar, AL",01075,0,3432,0000,0000,0,3351,0000,0000,0,3291,0000,0000,0,3242,0000,0000,0,3218,0000,0000,0,3167,0000,0000,0,3101,0000,0000,0,2997,0000,0000,0,2991,0000,0000,0,2957,0000,0000
"Lauderdale, AL",01077,0,13748,0000,0000,0,13387,0000,0000,0,13335,0000,0000,0,13312,0000,0000,0,13296,0000,0000,0,13329,0000,0000,0,13451,0000,0000,0,13595,0000,0000,0,13448,0000,0000,0,13594,0000,0000
"Lawrence, AL",01079,0,6599,0000,0000,0,6471,0000,0000,0,6478,0000,0000,0,6356,0000,0000,0,6338,0000,0000,0,6171,0000,0000,0,6279,0000,0000,0,6147,0000,0000,0,6176,0000,0000,0,6307,0000,0000
"Lee, AL",01081,0,13342,0000,0000,0,13481,0000,0000,0,13506,0000,0000,0,13695,0000,0000,0,13761,0000,0000,0,13927,0000,0000,0,14264,0000,0000,0,14676,0000,0000,0,15279,0000,0000,0,15780,0000,0000
"Limestone, AL",01083,0,9654,0000,0000,0,9688,0000,0000,0,9681,0000,0000,0,9751,0000,0000,0,9823,0000,0000,0,9945,0000,0000,0,10153,0000,0000,0,10236,0000,0000,0,10229,0000,0000,0,10455,0000,0000
"Lowndes, AL",01085,0,2992,0000,0000,0,2970,0000,0000,0,2981,0000,0000,0,2965,0000,0000,0,2920,0000,0000,0,2900,0000,0000,0,2873,0000,0000,0,2894,0000,0000,0,2931,0000,0000,0,2969,0000,0000
"Macon, AL",01087,0,4779,0000,0000,0,4780,0000,0000,0,4721,0000,0000,0,4528,0000,0000,0,4374,0000,0000,0,4122,0000,0000,0,4147,0000,0000,0,4214,0000,0000,0,4265,0000,0000,0,4280,0000,0000
"Madison, AL",01089,0,37098,0000,0000,0,37314,0000,0000,0,37817,0000,0000,0,38181,0000,0000,0,37885,0000,0000,0,39194,0000,0000,0,40430,0000,0000,0,41499,0000,0000,0,41375,0000,0000,0,42345,0000,0000
"Marengo, AL",01091,0,5219,0000,0000,0,5136,0000,0000,0,5145,0000,0000,0,5037,0000,0000,0,5046,0000,0000,0,5005,0000,0000,0,4931,0000,0000,0,4893,0000,0000,0,4880,0000,0000,0,4922,0000,0000
"Marion, AL",01093,0,5755,0000,0000,0,5653,0000,0000,0,5666,0000,0000,0,5518,0000,0000,0,5391,0000,0000,0,5372,0000,0000,0,5409,0000,0000,0,5482,0000,0000,0,5503,0000,0000,0,5516,0000,0000
"Marshall, AL",01095,0,13438,0000,0000,0,13429,0000,0000,0,13420,0000,0000,0,13393,0000,0000,0,13334,0000,0000,0,13439,0000,0000,0,13535,0000,0000,0,13743,0000,0000,0,13952,0000,0000,0,14174,0000,0000
"Mobile, AL",01097,0,68612,0000,0000,0,67619,0000,0000,0,67901,0000,0000,0,67620,0000,0000,0,67286,0000,0000,0,67523,0000,0000,0,66883,0000,0000,0,66580,0000,0000,0,64645,0000,0000,0,65602,0000,0000
"Monroe, AL",01099,0,5442,0000,0000,0,5453,0000,0000,0,5442,0000,0000,0,5353,0000,0000,0,5329,0000,0000,0,5304,0000,0000,0,5298,0000,0000,0,5315,0000,0000,0,5256,0000,0000,0,5180,0000,0000
"Montgomery, AL",01101,0,36789,0000,0000,0,36385,0000,0000,0,36456,0000,0000,0,36443,0000,0000,0,36399,0000,0000,0,35771,0000,0000,0,35837,0000,0000,0,35749,0000,0000,0,35255,0000,0000,0,35978,0000,0000
"Morgan, AL",01103,0,18337,0000,0000,0,18529,0000,0000,0,18567,0000,0000,0,18520,0000,0000,0,18722,0000,0000,0,18682,0000,0000,0,19047,0000,0000,0,19126,0000,0000,0,18935,0000,0000,0,19182,0000,0000
"Perry, AL",01105,0,2869,0000,0000,0,2755,0000,0000,0,2703,0000,0000,0,2651,0000,0000,0,2573,0000,0000,0,2518,0000,0000,0,2497,0000,0000,0,2486,0000,0000,0,2420,0000,0000,0,2453,0000,0000
"Pickens, AL",01107,0,4179,0000,0000,0,4149,0000,0000,0,4127,0000,0000,0,4109,0000,0000,0,4136,0000,0000,0,4063,0000,0000,0,3987,0000,0000,0,4033,0000,0000,0,3951,0000,0000,0,3954,0000,0000
"Pike, AL",01109,0,5036,0000,0000,0,4945,0000,0000,0,4983,0000,0000,0,5001,0000,0000,0,5063,0000,0000,0,4972,0000,0000,0,4886,0000,0000,0,4866,0000,0000,0,4833,0000,0000,0,4746,0000,0000
"Randolph, AL",01111,0,3954,0000,0000,0,3917,0000,0000,0,3941,0000,0000,0,3887,0000,0000,0,3877,0000,0000,0,3937,0000,0000,0,3977,0000,0000,0,3975,0000,0000,0,3824,0000,0000,0,3865,0000,0000
"Russell, AL",01113,0,8347,0000,0000,0,8210,0000,0000,0,8246,0000,0000,0,8345,0000,0000,0,8403,0000,0000,0,8533,0000,0000,0,8664,0000,0000,0,8723,0000,0000,0,8590,0000,0000,0,8772,0000,0000
"St. Clair, AL",01115,0,8818,0000,0000,0,8871,0000,0000,0,8868,0000,0000,0,8949,0000,0000,0,9153,0000,0000,0,9239,0000,0000,0,9462,0000,0000,0,8884,0000,0000,0,9714,0000,0000,0,10124,0000,0000
"Shelby, AL",01117,0,14314,0000,0000,0,14882,0000,0000,0,15199,0000,0000,0,15629,0000,0000,0,16096,0000,0000,0,16352,0000,0000,0,16806,0000,0000,0,17246,0000,0000,0,17773,0000,0000,0,18132,0000,0000
"Sumter, AL",01119,0,3296,0000,0000,0,3237,0000,0000,0,3198,0000,0000,0,3102,0000,0000,0,3114,0000,0000,0,2980,0000,0000,0,2918,0000,0000,0,2900,0000,0000,0,2866,0000,0000,0,2878,0000,0000
"Talladega, AL",01121,0,15401,0000,0000,0,15105,0000,0000,0,15081,0000,0000,0,14847,0000,0000,0,14671,0000,0000,0,14407,0000,0000,0,14197,0000,0000,0,14083,0000,0000,0,14034,0000,0000,0,13963,0000,0000
"Tallapoosa, AL",01123,0,7693,0000,0000,0,7527,0000,0000,0,7402,0000,0000,0,7319,0000,0000,0,7178,0000,0000,0,7035,0000,0000,0,7023,0000,0000,0,6957,0000,0000,0,7088,0000,0000,0,7231,0000,0000
"Tuscaloosa, AL",01125,0,24252,0000,0000,0,24497,0000,0000,0,24636,0000,0000,0,24663,0000,0000,0,25113,0000,0000,0,25078,0000,0000,0,25011,0000,0000,0,25314,0000,0000,0,25099,0000,0000,0,25470,0000,0000
"Walker, AL",01127,0,13447,0000,0000,0,13035,0000,0000,0,12849,0000,0000,0,12602,0000,0000,0,12352,0000,0000,0,12270,0000,0000,0,11981,0000,0000,0,11830,0000,0000,0,11763,0000,0000,0,11764,0000,0000
"Washington, AL",01129,0,4069,0000,0000,0,3952,0000,0000,0,3916,0000,0000,0,3862,0000,0000,0,3855,0000,0000,0,3807,0000,0000,0,3785,0000,0000,0,3763,0000,0000,0,3755,0000,0000,0,3803,0000,0000
"Wilcox, AL",01131,0,3057,0000,0000,0,2989,0000,0000,0,2939,0000,0000,0,2979,0000,0000,0,2962,0000,0000,0,2841,0000,0000,0,2837,0000,0000,0,2789,0000,0000,0,2803,0000,0000,0,2799,0000,0000
"Winston, AL",01133,0,4587,0000,0000,0,4475,0000,0000,0,4378,0000,0000,0,4359,0000,0000,0,4350,0000,0000,0,4331,0000,0000,0,4352,0000,0000,0,4445,0000,0000,0,4505,0000,0000,0,4534,0000,0000
ALASKA,02000,0,102872,0000,0000,0,106043,0000,0000,0,104153,0000,0000,0,108810,0000,0000,0,112190,0000,0000,0,118680,0000,0000,0,122487,0000,0000,0,125948,0000,0000,0,126348,0000,0000,0,127185,0000,0000
"Aleutians East, AK",02013,2,0,5080,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,370,0000,0000,0,436,0000,0000,0,446,0000,0000,0,367,0000,0000,0,392,0000,0000
"Aleutians West, AK",02016,1,1239,5080,0000,0,1612,0000,0000,0,1781,0000,0000,0,1824,0000,0000,0,1931,0000,0000,0,1244,0000,0000,0,1229,0000,0000,0,1103,0000,0000,0,236,0000,0000,0,613,0000,0000
"Anchorage, AK",02020,0,39785,0000,0000,0,40941,0000,0000,0,40007,0000,0000,0,40924,0000,0000,0,41992,0000,0000,0,44749,0000,0000,0,46265,0000,0000,0,47340,0000,0000,0,47655,0000,0000,0,47318,0000,0000
"Bethel, AK",02050,0,3206,0000,0000,0,3322,0000,0000,0,3308,0000,0000,0,3649,0000,0000,0,3451,0000,0000,0,3785,0000,0000,0,3889,0000,0000,0,3996,0000,0000,0,4169,0000,0000,0,4309,0000,0000
"Bristol Bay, AK",02060,0,603,0000,0000,0,726,0000,0000,0,717,0000,0000,0,821,0000,0000,0,708,0000,0000,0,799,0000,0000,0,823,0000,0000,0,872,0000,0000,0,965,0000,0000,0,395,0000,0000
"Denali, AK",02068,2,0,5082,0000,2,0,5082,0000,2,0,5082,0000,2,0,5082,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000
"Dillingham, AK",02070,1,933,5081,0000,1,450,5081,0000,1,455,5081,0000,0,464,0000,0000,0,456,0000,0000,0,514,0000,0000,0,497,0000,0000,0,484,0000,0000,0,507,0000,0000,0,516,0000,0000
"Fairbanks North Star, AK",02090,0,13155,0000,0000,0,14771,0000,0000,0,14555,0000,0000,0,15096,0000,0000,0,15717,0000,0000,0,16299,0000,0000,0,16609,0000,0000,0,16905,0000,0000,0,17202,0000,0000,0,16890,0000,0000
"Haines, AK",02100,0,350,0000,0000,0,365,0000,0000,0,353,0000,0000,0,399,0000,0000,0,434,0000,0000,0,450,0000,0000,0,434,0000,0000,0,400,0000,0000,0,414,0000,0000,0,439,0000,0000
"Hoonah-Angoon, AK",02105,1,902,5084,0000,1,931,5084,0000,1,955,5084,0000,1,954,5084,0000,1,966,5084,0000,1,953,5084,0000,1,974,5084,0000,1,939,5084,0000,1,935,5084,0000,1,957,5084,0000
"Juneau, AK",02110,0,4594,0000,0000,0,4457,0000,0000,0,4571,0000,0000,0,4879,0000,0000,0,5958,0000,0000,0,5980,0000,0000,0,6494,0000,0000,0,6833,0000,0000,0,6729,0000,0000,0,6882,0000,0000
"Kenai Peninsula, AK",02122,0,8262,0000,0000,0,8402,0000,0000,0,8364,0000,0000,0,8732,0000,0000,0,9319,0000,0000,0,9562,0000,0000,0,9596,0000,0000,0,9918,0000,0000,0,10142,0000,0000,0,10314,0000,0000
"Ketchikan Gateway, AK",02130,0,2891,0000,0000,0,2657,0000,0000,0,2590,0000,0000,0,2757,0000,0000,0,2799,0000,0000,0,2797,0000,0000,0,2837,0000,0000,0,2886,0000,0000,0,2873,0000,0000,0,2890,0000,0000
"Kodiak Island, AK",02150,0,2250,0000,0000,0,2428,0000,0000,0,2397,0000,0000,0,2436,0000,0000,0,2529,0000,0000,0,2655,0000,0000,0,2674,0000,0000,0,2890,0000,0000,0,2826,0000,0000,0,2910,0000,0000
"Lake and Peninsula, AK",02164,2,0,5081,0000,2,0,5081,0000,2,0,5081,0000,0,0,0000,0000,0,0,0000,0000,0,522,0000,0000,0,543,0000,0000,0,587,0000,0000,0,565,0000,0000,0,558,0000,0000
"Matanuska-Susitna, AK",02170,0,8930,0000,0000,0,9060,0000,0000,0,8738,0000,0000,0,9225,0000,0000,0,9810,0000,0000,0,10580,0000,0000,0,10990,0000,0000,0,11541,0000,0000,0,12077,0000,0000,0,12338,0000,0000
"Nome, AK",02180,0,2000,0000,0000,0,1999,0000,0000,0,2004,0000,0000,0,2179,0000,0000,0,2123,0000,0000,0,2303,0000,0000,0,2285,0000,0000,0,2340,0000,0000,0,2444,0000,0000,0,2508,0000,0000
"North Slope, AK",02185,0,1149,0000,0000,0,1557,0000,0000,0,1245,0000,0000,0,1594,0000,0000,0,1364,0000,0000,0,1735,0000,0000,0,1816,0000,0000,0,1991,0000,0000,0,2075,0000,0000,0,2133,0000,0000
"Northwest Arctic, AK",02188,0,1560,0000,0000,0,1742,0000,0000,0,1625,0000,0000,0,1776,0000,0000,0,1596,0000,0000,0,1877,0000,0000,0,1994,0000,0000,0,2086,0000,0000,0,1954,0000,0000,0,2075,0000,0000
"Petersburg, AK",02195,1,1303,5090,0000,1,1340,5090,0000,1,1343,5090,0000,1,1358,5090,0000,1,1353,5090,0000,1,1410,5090,0000,1,1402,5090,0000,1,1373,5090,0000,1,1514,5090,0000,1,1497,5090,0000
"Prince of Wales-Hyder, AK",02198,0,905,0000,0000,0,1322,0000,0000,0,1353,0000,0000,0,1525,0000,0000,0,1551,0000,0000,0,1475,0000,0000,0,1501,0000,0000,0,1496,0000,0000,0,1475,0000,0000,0,1531,0000,0000
"Sitka, AK",02220,0,1752,0000,0000,0,1875,0000,0000,0,1841,0000,0000,0,1957,0000,0000,0,2008,0000,0000,0,2050,0000,0000,0,2151,0000,0000,0,2185,0000,0000,0,2094,0000,0000,0,2084,0000,0000
"Skagway, AK",02230,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000
"Southeast Fairbanks, AK",02240,0,1519,0000,0000,0,507,0000,0000,0,458,0000,0000,0,492,0000,0000,0,497,0000,0000,0,507,0000,0000,0,525,0000,0000,0,525,0000,0000,0,533,0000,0000,0,552,0000,0000
"Valdez-Cordova, AK",02261,0,1880,0000,0000,0,1831,0000,0000,0,1879,0000,0000,0,1963,0000,0000,0,1929,0000,0000,0,2115,0000,0000,0,2210,0000,0000,0,2144,0000,0000,0,2200,0000,0000,0,2220,0000,0000
"Wade Hampton, AK",02270,0,1577,0000,0000,0,1613,0000,0000,0,1587,0000,0000,0,1645,0000,0000,0,1648,0000,0000,0,1765,0000,0000,0,2061,0000,0000,0,2212,0000,0000,0,2269,0000,0000,0,2365,0000,0000
"Wrangell, AK",02275,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000
"Yakutat, AK",02282,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000
"Yukon-Koyukuk, AK",02290,1,2127,5082,0000,1,2135,5082,0000,1,2027,5082,0000,1,2161,5082,0000,0,2051,0000,0000,0,2184,0000,0000,0,2252,0000,0000,0,2456,0000,0000,0,2128,0000,0000,0,2499,0000,0000
ARIZONA,04000,0,609411,0000,0000,0,585756,0000,0000,0,609562,0000,0000,0,617753,0000,0000,0,634201,0000,0000,0,656286,0000,0000,0,678772,0000,0000,0,710748,0000,0000,0,735752,0000,0000,0,747791,0000,0000
"Apache, AZ",04001,0,13160,0000,0000,0,13558,0000,0000,0,13691,0000,0000,0,13956,0000,0000,0,14050,0000,0000,0,14465,0000,0000,0,14633,0000,0000,0,15126,0000,0000,0,15407,0000,0000,0,16613,0000,0000
"Cochise, AZ",04003,0,55848,0000,0000,0,19074,0000,0000,0,19204,0000,0000,0,19422,0000,0000,0,19492,0000,0000,0,19555,0000,0000,0,20294,0000,0000,0,21059,0000,0000,0,21270,0000,0000,0,21484,0000,0000
"Coconino, AZ",04005,0,17638,0000,0000,0,18384,0000,0000,0,18865,0000,0000,0,18714,0000,0000,0,18946,0000,0000,0,19112,0000,0000,0,19584,0000,0000,0,20182,0000,0000,0,20432,0000,0000,0,20064,0000,0000
"Gila, AZ",04007,0,7364,0000,0000,0,7423,0000,0000,0,7452,0000,0000,0,7583,0000,0000,0,7685,0000,0000,0,8167,0000,0000,0,8462,0000,0000,0,8882,0000,0000,0,9058,0000,0000,0,8562,0000,0000
"Graham, AZ",04009,0,5064,0000,0000,0,5253,0000,0000,0,5290,0000,0000,0,5428,0000,0000,0,5464,0000,0000,0,5673,0000,0000,0,5772,0000,0000,0,6049,0000,0000,0,6056,0000,0000,0,6924,0000,0000
"Greenlee, AZ",04011,0,2079,0000,0000,0,2237,0000,0000,0,2170,0000,0000,0,2210,0000,0000,0,2240,0000,0000,0,2331,0000,0000,0,2365,0000,0000,0,2380,0000,0000,0,2274,0000,0000,0,2855,0000,0000
"La Paz, AZ",04012,0,2477,0000,0000,0,2599,0000,0000,0,2713,0000,0000,0,2820,0000,0000,0,2889,0000,0000,0,2937,0000,0000,0,3071,0000,0000,0,3112,0000,0000,0,3104,0000,0000,0,3121,0000,0000
"Maricopa, AZ",04013,0,320411,0000,0000,0,325944,0000,0000,0,341833,0000,0000,0,345323,0000,0000,0,356352,0000,0000,0,369963,0000,0000,0,383355,0000,0000,0,402596,0000,0000,0,418249,0000,0000,0,421798,0000,0000
"Mohave, AZ",04015,0,12036,0000,0000,0,13202,0000,0000,0,14000,0000,0000,0,15046,0000,0000,0,16205,0000,0000,0,16899,0000,0000,0,18090,0000,0000,0,19431,0000,0000,0,20260,0000,0000,0,20844,0000,0000
"Navajo, AZ",04017,0,15969,0000,0000,0,16133,0000,0000,0,16256,0000,0000,0,17043,0000,0000,0,17081,0000,0000,0,17603,0000,0000,0,17860,0000,0000,0,18910,0000,0000,0,19421,0000,0000,0,20931,0000,0000
"Pima, AZ",04019,0,96300,0000,0000,0,98808,0000,0000,0,101853,0000,0000,0,102622,0000,0000,0,104478,0000,0000,0,107464,0000,0000,0,110353,0000,0000,0,115323,0000,0000,0,119210,0000,0000,0,121370,0000,0000
"Pinal, AZ",04021,0,22070,0000,0000,0,22182,0000,0000,0,22937,0000,0000,0,22812,0000,0000,0,22926,0000,0000,0,23549,0000,0000,0,24057,0000,0000,0,24518,0000,0000,0,24804,0000,0000,0,26526,0000,0000
